"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","cardiac ventricle morphogenesis (GO:0003208)","4/44",3.29840153118942e-05,0.0188159925488134,0,0,25.1607594936709,259.646143043624,"DLL4;HEY1;FOXF1;TNNC1"
"2","cellular response to growth factor stimulus (GO:0071363)","6/158",5.05127316746669e-05,0.0188159925488134,0,0,10.1324333561176,100.243052365145,"TMEM100;DLL4;RAMP2;CLEC3B;CCL5;XCL1"
"3","embryonic organ development (GO:0048568)","4/66",0.000163391726520096,0.0314349206425943,0,0,16.2147815434871,141.382517762988,"NDRG4;HEY1;RARRES2;TBX4"
"4","positive regulation of natural killer cell chemotaxis (GO:2000503)","2/5",0.000168778097409903,0.0314349206425943,0,0,163.901234567901,1423.79785320571,"CCL5;XCL1"
"5","regulation of natural killer cell chemotaxis (GO:2000501)","2/7",0.000352526487414988,0.0375188904463094,0,0,98.3308641975309,781.768207785248,"CCL5;XCL1"
"6","dorsal aorta development (GO:0035907)","2/7",0.000352526487414988,0.0375188904463094,0,0,98.3308641975309,781.768207785248,"DLL4;HEY1"
"7","dorsal aorta morphogenesis (GO:0035912)","2/7",0.000352526487414988,0.0375188904463094,0,0,98.3308641975309,781.768207785248,"DLL4;HEY1"
"8","Notch signaling involved in heart development (GO:0061314)","2/11",0.000913376958439487,0.0850582292546772,0,0,54.6172839506173,382.23151818992,"DLL4;HEY1"
"9","positive regulation of ion transport (GO:0043270)","3/50",0.00117352397447287,0.0859074401146983,0,0,15.8537234042553,106.976868770107,"WFS1;CCL5;SCN4B"
"10","positive regulation of leukocyte chemotaxis (GO:0002690)","3/54",0.0014675058182289,0.0859074401146983,0,0,14.6073529411765,95.3011611995579,"CCL5;RARRES2;XCL1"
"11","regulation of vasculogenesis (GO:2001212)","2/14",0.00149905600200145,0.0859074401146983,0,0,40.9567901234568,266.338717382956,"TMEM100;HEY1"
"12","positive regulation of macrophage chemotaxis (GO:0010759)","2/14",0.00149905600200145,0.0859074401146983,0,0,40.9567901234568,266.338717382956,"RARRES2;CCL5"
"13","positive regulation of T cell chemotaxis (GO:0010820)","2/14",0.00149905600200145,0.0859074401146983,0,0,40.9567901234568,266.338717382956,"CCL5;XCL1"
"14","regulation of T cell chemotaxis (GO:0010819)","2/15",0.00172502777883699,0.0895959623634115,0,0,37.8043684710351,240.530752773222,"CCL5;XCL1"
"15","regulation of calcium ion transport (GO:0051924)","3/58",0.00180394555094117,0.0895959623634115,0,0,13.5422727272727,85.5570867930671,"GRAMD2A;WFS1;CCL5"
"16","neutrophil activation (GO:0042119)","2/16",0.00196615926382052,0.0915492907216429,0,0,35.1022927689594,218.746018913729,"CCL5;DNASE1L3"
"17","aorta morphogenesis (GO:0035909)","2/17",0.00222232381298952,0.0917768745443608,0,0,32.7604938271605,200.140470084313,"DLL4;HEY1"
"18","cell surface receptor signaling pathway involved in heart development (GO:0061311)","2/17",0.00222232381298952,0.0917768745443608,0,0,32.7604938271605,200.140470084313,"DLL4;HEY1"
"19","positive regulation of lymphocyte chemotaxis (GO:0140131)","2/18",0.00249339554967035,0.0917768745443608,0,0,30.7114197530864,184.087622817145,"CCL5;XCL1"
"20","heart trabecula morphogenesis (GO:0061384)","2/19",0.00277924936015505,0.0917768745443608,0,0,28.9034132171387,170.113188963323,"DLL4;HEY1"
"21","positive regulation of macrophage migration (GO:1905523)","2/19",0.00277924936015505,0.0917768745443608,0,0,28.9034132171387,170.113188963323,"RARRES2;CCL5"
"22","regulation of smooth muscle cell migration (GO:0014910)","2/20",0.00307976089075036,0.0917768745443608,0,0,27.2962962962963,157.851842417783,"NDRG4;CCL5"
"23","cardiac ventricle development (GO:0003231)","2/20",0.00307976089075036,0.0917768745443608,0,0,27.2962962962963,157.851842417783,"DLL4;HEY1"
"24","regulation of granulocyte chemotaxis (GO:0071622)","2/20",0.00307976089075036,0.0917768745443608,0,0,27.2962962962963,157.851842417783,"RARRES2;CCL5"
"25","embryonic digestive tract development (GO:0048566)","2/20",0.00307976089075036,0.0917768745443608,0,0,27.2962962962963,157.851842417783,"FOXF1;RARRES2"
"26","endocardial cushion development (GO:0003197)","2/21",0.0033948065430425,0.0972742644064101,0,0,25.8583495776478,147.017866384298,"HEY1;FOXF1"
"27","regulation of macrophage chemotaxis (GO:0010758)","2/22",0.0037242634699934,0.102762084635003,0,0,24.5641975308642,137.384760718197,"RARRES2;CCL5"
"28","neutrophil migration (GO:1990266)","3/77",0.00404173960379325,0.104505763162211,0,0,10.0555743243243,55.4170753989056,"CCL5;PECAM1;XCL1"
"29","regulation of mononuclear cell migration (GO:0071675)","2/23",0.00406800957275721,0.104505763162211,0,0,23.3932980599647,128.770782365334,"RARRES2;CCL5"
"30","extracellular matrix assembly (GO:0085029)","2/24",0.00442592349491403,0.109910433457032,0,0,22.3288439955107,121.028504426178,"MFAP4;RAMP2"
"31","positive regulation of T cell migration (GO:2000406)","2/25",0.00479788462118455,0.11530400138008,0,0,21.3569511540526,114.037152705688,"CCL5;XCL1"
"32","negative regulation of signal transduction (GO:0009968)","5/267",0.00508694065725807,0.118430337176789,0,0,4.80891563906831,25.3962618495212,"DLL4;NDRG4;HEY1;CCL5;SOSTDC1"
"33","positive regulation of ERK1 and ERK2 cascade (GO:0070374)","4/172",0.00572826454676792,0.127647365065749,0,0,5.95207956600362,30.7266742923259,"NDRG4;CCL5;XCL1;FGFR4"
"34","regulation of sodium ion transmembrane transport (GO:1902305)","2/28",0.00599685607691437,0.127647365065749,0,0,18.8898385565052,96.6502355293929,"FXYD1;SCN4B"
"35","leukocyte cell-cell adhesion (GO:0007159)","2/28",0.00599685607691437,0.127647365065749,0,0,18.8898385565052,96.6502355293929,"CCL5;PECAM1"
"36","cellular response to fibroblast growth factor stimulus (GO:0044344)","3/92",0.006636911923135,0.137347205075988,0,0,8.35449438202247,41.8986957508065,"DLL4;CCL5;FGFR4"
"37","negative regulation of Notch signaling pathway (GO:0045746)","2/30",0.0068642280423139,0.138212159230375,0,0,17.5388007054674,87.3683377159893,"DLL4;HEY1"
"38","negative regulation of developmental growth (GO:0048640)","2/32",0.00778495602193254,0.144994805908494,0,0,16.3679012345679,79.4753612641277,"MYOZ1;SLC6A4"
"39","aortic valve morphogenesis (GO:0003180)","2/32",0.00778495602193254,0.144994805908494,0,0,16.3679012345679,79.4753612641277,"DLL4;HEY1"
"40","regulation of cellular biosynthetic process (GO:0031326)","2/32",0.00778495602193254,0.144994805908494,0,0,16.3679012345679,79.4753612641277,"CCL5;FGFR4"
"41","cardiac muscle contraction (GO:0060048)","2/34",0.00875811847488829,0.151739494506786,0,0,15.3433641975309,72.6933947765836,"TNNC1;SCN4B"
"42","cellular response to vascular endothelial growth factor stimulus (GO:0035924)","2/34",0.00875811847488829,0.151739494506786,0,0,15.3433641975309,72.6933947765836,"DLL4;RAMP2"
"43","ventricular cardiac muscle tissue morphogenesis (GO:0055010)","2/34",0.00875811847488829,0.151739494506786,0,0,15.3433641975309,72.6933947765836,"DLL4;TNNC1"
"44","cellular response to virus (GO:0098586)","2/35",0.00926407773583631,0.15685767984541,0,0,14.8776655443322,69.6514421758921,"CCL5;IFI6"
"45","aortic valve development (GO:0003176)","2/36",0.00978280514383657,0.161959774047961,0,0,14.439360929557,66.8127858652292,"DLL4;HEY1"
"46","positive regulation of calcium ion transport (GO:0051928)","2/37",0.0103141886598555,0.163490862799837,0,0,14.026102292769,64.1586851022233,"WFS1;CCL5"
"47","negative regulation of epithelial cell apoptotic process (GO:1904036)","2/37",0.0103141886598555,0.163490862799837,0,0,14.026102292769,64.1586851022233,"RAMP2;WFS1"
"48","regulation of ion transmembrane transporter activity (GO:0032412)","2/39",0.011414479307142,0.168442613592203,0,0,13.2665999332666,59.3398115334589,"FXYD1;SCN4B"
"49","sulfur compound biosynthetic process (GO:0044272)","3/113",0.0116297036787843,0.168442613592203,0,0,6.75238636363636,30.0764306684555,"GGTLC1;PRELP;GSTM5"
"50","regulation of sodium ion transmembrane transporter activity (GO:2000649)","2/40",0.0119831657991769,0.168442613592203,0,0,12.9168291098116,57.1473130184515,"FXYD1;SCN4B"
"51","fatty acid derivative biosynthetic process (GO:1901570)","2/40",0.0119831657991769,0.168442613592203,0,0,12.9168291098116,57.1473130184515,"GGTLC1;HMGCS2"
"52","lymphocyte migration (GO:0072676)","2/40",0.0119831657991769,0.168442613592203,0,0,12.9168291098116,57.1473130184515,"CCL5;XCL1"
"53","digestive tract development (GO:0048565)","2/40",0.0119831657991769,0.168442613592203,0,0,12.9168291098116,57.1473130184515,"FOXF1;RARRES2"
"54","heart contraction (GO:0060047)","2/41",0.0125640671096257,0.170522477079025,0,0,12.5849952516619,55.0834463859076,"TNNC1;SCN4B"
"55","skeletal system morphogenesis (GO:0048705)","2/42",0.0131570746147379,0.170522477079025,0,0,12.2697530864198,53.1377935571484,"TBX4;HOXA4"
"56","monocyte chemotaxis (GO:0002548)","2/42",0.0131570746147379,0.170522477079025,0,0,12.2697530864198,53.1377935571484,"CCL5;XCL1"
"57","lymphocyte chemotaxis (GO:0048247)","2/44",0.0143789770727295,0.170522477079025,0,0,11.68430335097,49.5646753583857,"CCL5;XCL1"
"58","embryonic organ morphogenesis (GO:0048562)","2/44",0.0143789770727295,0.170522477079025,0,0,11.68430335097,49.5646753583857,"FOXF1;HOXA4"
"59","cellular response to organic substance (GO:0071310)","3/123",0.0145950183065976,0.170522477079025,0,0,6.1865625,26.1510638057124,"RAMP2;CLEC3B;CCL5"
"60","positive regulation of chemotaxis (GO:0050921)","2/45",0.0150076581227873,0.170522477079025,0,0,11.4120011484353,47.9212143582303,"RARRES2;XCL1"
"61","platelet degranulation (GO:0002576)","3/125",0.0152347382422005,0.170522477079025,0,0,6.08452868852459,25.458745286651,"CLEC3B;RARRES2;PECAM1"
"62","inflammatory response (GO:0006954)","4/230",0.015436657990237,0.170522477079025,0,0,4.4115604346365,18.4006636114776,"AOC3;PRDX5;CCL5;XCL1"
"63","circulatory system development (GO:0072359)","3/126",0.0155604701005467,0.170522477079025,0,0,6.03475609756098,25.1228196745158,"RAMP2;HEY1;FOXF1"
