"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","DNA geometric change (GO:0032392)","8/26",8.98551924150885e-08,0.000134694023568217,0,0,18.8961510530138,306.591306211701,"WRN;RAD50;DHX9;DDX1;DHX36;RECQL;ASCC3;NBN"
"2","ribosome biogenesis (GO:0042254)","19/192",1.32457951816442e-07,0.000134694023568217,0,0,4.74607762180016,75.1636340808126,"LTV1;NOP58;DIS3;KRR1;WDR3;HEATR1;DDX10;WDR75;NOL8;DDX52;SDAD1;WDR43;ESF1;MTREX;UTP20;RIOK2;DHX29;RIOK1;ABCE1"
"3","mitotic cytokinesis (GO:0000281)","10/49",1.5908742941128e-07,0.000134694023568217,0,0,10.9375526005723,171.214391223479,"USP8;ANLN;ROCK1;ROCK2;NUSAP1;CKAP2;KIF23;KIF20A;ECT2;CEP55"
"4","rRNA processing (GO:0006364)","17/173",6.69132300672782e-07,0.0003729926406778,0,0,4.6924358974359,66.7136939816857,"NOP58;DIS3;KRR1;WDR3;HEATR1;DDX10;WDR75;NOL8;DDX52;WDR43;RSL1D1;ESF1;MTREX;SRFBP1;UTP20;RIOK2;RIOK1"
"5","mitotic sister chromatid segregation (GO:0000070)","13/102",7.34237481649212e-07,0.0003729926406778,0,0,6.25580359352571,88.3596806958726,"NCAPG;KIF23;SMC4;SMC2;TTN;CENPE;KIF18A;NIPBL;NUSAP1;CDK1;SPDL1;CEP55;DLGAP5"
"6","positive regulation of rRNA processing (GO:2000234)","5/10",1.55421145749332e-06,0.000657949517005505,0,0,42.2683982683983,565.320478152639,"HEATR1;WDR75;RIOK2;RIOK1;WDR43"
"7","cellular response to DNA damage stimulus (GO:0006974)","24/350",2.81119853473299e-06,0.0010200634683174,0,0,3.19190128654323,40.7985619077395,"TOP2A;USP47;USP16;MCM8;BOD1L1;RECQL;SMC5;SMC6;SETX;UFL1;NIPBL;WRN;RAD50;TAOK3;CHEK1;PSME4;UBR5;CDK1;RBBP8;TRIP12;MTREX;NBN;POLK;TOPBP1"
"8","cytoskeleton-dependent cytokinesis (GO:0061640)","10/72",6.42685018846342e-06,0.00204052493483714,0,0,6.87195595397755,82.1544121113872,"USP8;ANLN;ROCK1;ROCK2;NUSAP1;CKAP2;KIF23;KIF20A;ECT2;CEP55"
"9","DNA replication (GO:0006260)","12/108",8.37404030183442e-06,0.00236334026296216,0,0,5.33983516483516,62.4246705898858,"FAM111B;WRN;RAD50;RFC1;MCM8;CHEK1;CDK1;RBBP8;NBN;TOPBP1;BAZ1A;TOP1"
"10","positive regulation of chromosome organization (GO:2001252)","5/15",1.68118075253433e-05,0.00427019911143719,0,0,21.1287878787879,232.277831293263,"RAD50;ATRX;DHX36;NBN;GNL3"
