"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","microfibril (GO:0001527)","2/11",0.000913376958439487,0.0592127120790571,0,0,54.6172839506173,382.23151818992,"MFAP4;LTBP4"
"2","platelet dense granule lumen (GO:0031089)","2/14",0.00149905600200145,0.0592127120790571,0,0,40.9567901234568,266.338717382956,"CLEC3B;RARRES2"
"3","supramolecular fiber (GO:0099512)","2/19",0.00277924936015505,0.0670474292250894,0,0,28.9034132171387,170.113188963323,"MFAP4;LTBP4"
"4","platelet dense granule (GO:0042827)","2/21",0.0033948065430425,0.0670474292250894,0,0,25.8583495776478,147.017866384298,"CLEC3B;RARRES2"
"5","collagen-containing extracellular matrix (GO:0062023)","6/380",0.00499669958675583,0.0789478534707421,0,0,4.07174109313147,21.5760651189097,"MFAP4;CLEC3B;RARRES2;LTBP4;S100A4;PRELP"
"6","integral component of plasma membrane (GO:0005887)","13/1454",0.00669458648639123,0.082588635865695,0,0,2.38116387429365,11.9211923232845,"VIPR1;RAMP2;ICAM2;NKG7;TMEM130;SLC6A4;FXYD1;PECAM1;FCER1A;FGFR4;SCN4B;LGR5;CACNG4"
"7","intercalated disc (GO:0014704)","2/31",0.00731798039316285,0.082588635865695,0,0,16.9331630481056,83.2674897344772,"FXYD1;SCN4B"
"8","cell-cell contact zone (GO:0044291)","2/47",0.0162999500765206,0.160962007005641,0,0,10.9037037037037,44.8861128918177,"FXYD1;SCN4B"
"9","elastic fiber (GO:0071953)","1/5",0.0205803757988252,0.180649965345244,0,0,60.7103658536585,235.763684338333,"MFAP4"
"10","microvillus (GO:0005902)","2/57",0.0234330923991062,0.185121429952939,0,0,8.91672278338945,33.4698645910279,"AOC3;ICAM2"
"11","G protein-coupled receptor dimeric complex (GO:0038037)","1/7",0.0286948873747529,0.206081463873225,0,0,40.469512195122,143.708707347481,"RAMP2"
"12","sodium:potassium-exchanging ATPase complex (GO:0005890)","1/10",0.0407422831141832,0.268220030501706,0,0,26.9756097560976,86.3351376706654,"FXYD1"
"13","actin-based cell projection (GO:0098858)","2/83",0.0466407400040944,0.28343218925565,0,0,6.04663923182442,18.5346475697511,"AOC3;ICAM2"
"14","cation-transporting ATPase complex (GO:0090533)","1/16",0.0643959297803682,0.312923677311385,0,0,16.180487804878,44.3783023784095,"FXYD1"
"15","platelet alpha granule membrane (GO:0031092)","1/17",0.0682817873305455,0.312923677311385,0,0,15.1684451219512,40.7138086813566,"PECAM1"
"16","voltage-gated sodium channel complex (GO:0001518)","1/17",0.0682817873305455,0.312923677311385,0,0,15.1684451219512,40.7138086813566,"SCN4B"
"17","AMPA glutamate receptor complex (GO:0032281)","1/20",0.079843946410372,0.312923677311385,0,0,12.7715019255456,32.2822855583426,"CACNG4"
"18","anchored component of external side of plasma membrane (GO:0031362)","1/20",0.079843946410372,0.312923677311385,0,0,12.7715019255456,32.2822855583426,"CA4"
"19","postsynaptic density membrane (GO:0098839)","1/20",0.079843946410372,0.312923677311385,0,0,12.7715019255456,32.2822855583426,"CACNG4"
"20","postsynaptic specialization membrane (GO:0099634)","1/21",0.0836664094246832,0.312923677311385,0,0,12.1323170731707,30.0992802067983,"CACNG4"
"21","intrinsic component of endoplasmic reticulum membrane (GO:0031227)","2/121",0.0900757313647844,0.312923677311385,0,0,4.10789500985579,9.88813257554856,"GRAMD2A;WFS1"
"22","intrinsic component of external side of plasma membrane (GO:0031233)","1/24",0.0950399222515838,0.312923677311385,0,0,10.5482502651113,24.8248665190721,"CA4"
"23","mitochondrial envelope (GO:0005740)","2/127",0.0977326856205755,0.312923677311385,0,0,3.90953086419753,9.09168918545024,"IFI27;IFI6"
"24","sodium channel complex (GO:0034706)","1/25",0.0988000122711018,0.312923677311385,0,0,10.1082317073171,23.3970948387626,"SCN4B"
"25","peroxisome (GO:0005777)","2/128",0.0990264801618308,0.312923677311385,0,0,3.87830687830688,8.96807267393234,"PRDX5;DEPP1"
"26","nuclear inner membrane (GO:0005637)","1/28",0.109987919173334,0.332638691971229,0,0,8.98373983739837,19.830570269385,"IFI27"
"27","rough endoplasmic reticulum (GO:0005791)","1/29",0.113686641559787,0.332638691971229,0,0,8.66245644599303,18.8348602489961,"CA4"
"28","ionotropic glutamate receptor complex (GO:0008328)","1/32",0.124691934724438,0.351809387258236,0,0,7.82297403619198,16.286720880527,"CACNG4"
"29","basolateral plasma membrane (GO:0016323)","2/151",0.13000836277975,0.354160712400007,0,0,3.27583064048388,6.68320717906353,"NDRG4;CA4"
"30","brush border membrane (GO:0031526)","1/37",0.142734842714679,0.374519648032762,0,0,6.73475609756098,13.1109983424583,"CA4"
"31","membrane raft (GO:0045121)","2/163",0.146963406190071,0.374519648032762,0,0,3.02982900084349,5.80991422871173,"MAL;SLC6A4"
"32","endoplasmic reticulum membrane (GO:0005789)","5/712",0.173645045809151,0.417241785380691,0,0,1.74174010807674,3.04933761245553,"NDRG4;GRAMD2A;TMEM178A;WFS1;GDPD3"
"33","anchored component of plasma membrane (GO:0046658)","1/46",0.174290872374213,0.417241785380691,0,0,5.38536585365854,9.40839406563324,"CA4"
"34","sarcolemma (GO:0042383)","1/52",0.194687815550376,0.447892051946901,0,0,4.75035868005739,7.77328718764973,"FXYD1"
