"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","calcium ion binding (GO:0005509)","7/348",0.000607957109212103,0.0433854055258756,0,0,5.28754437413181,39.1564140101812,"AOC3;CLEC3B;TNNC1;LTBP4;S100A4;S100A3;DNASE1L3"
"2","protein serine/threonine phosphatase inhibitor activity (GO:0004865)","2/11",0.000913376958439487,0.0433854055258756,0,0,54.6172839506173,382.23151818992,"PPP1R14A;MYOZ1"
"3","transmembrane receptor protein serine/threonine kinase activity (GO:0004675)","2/18",0.00249339554967035,0.0789575257395612,0,0,30.7114197530864,184.087622817145,"LTBP4;SOSTDC1"
"4","metal ion binding (GO:0046872)","7/517",0.00566579662959214,0.1150079824052,0,0,3.50487616099071,18.1318030812243,"AOC3;CLEC3B;TNNC1;LTBP4;S100A4;S100A3;DNASE1L3"
"5","protein phosphatase inhibitor activity (GO:0004864)","2/29",0.00642381451777175,0.1150079824052,0,0,18.1893004115226,91.814917029891,"PPP1R14A;MYOZ1"
"6","sodium channel regulator activity (GO:0017080)","2/37",0.0103141886598555,0.1150079824052,0,0,14.026102292769,64.1586851022233,"FXYD1;SCN4B"
"7","CCR chemokine receptor binding (GO:0048020)","2/42",0.0131570746147379,0.1150079824052,0,0,12.2697530864198,53.1377935571484,"CCL5;XCL1"
"8","chemokine activity (GO:0008009)","2/46",0.0156480175569444,0.1150079824052,0,0,11.152076318743,46.3637652476988,"CCL5;XCL1"
"9","chemokine receptor binding (GO:0042379)","2/50",0.0183241429417303,0.1150079824052,0,0,10.2206790123457,40.8779716326206,"CCL5;XCL1"
"10","FATZ binding (GO:0051373)","1/5",0.0205803757988252,0.1150079824052,0,0,60.7103658536585,235.763684338333,"MYOZ1"
"11","fibroblast growth factor-activated receptor activity (GO:0005007)","1/5",0.0205803757988252,0.1150079824052,0,0,60.7103658536585,235.763684338333,"FGFR4"
"12","troponin I binding (GO:0031013)","1/5",0.0205803757988252,0.1150079824052,0,0,60.7103658536585,235.763684338333,"TNNC1"
"13","calcitonin family receptor activity (GO:0097642)","1/5",0.0205803757988252,0.1150079824052,0,0,60.7103658536585,235.763684338333,"RAMP2"
