"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","RNA binding (GO:0003723)","86/1406",1.03856449684462e-16,4.54891249617944e-14,0,0,3.11444762586495,114.622641777806,"TOP2A;SMG1;SLC4A1AP;TUT7;DDX3X;WDR3;CLTC;MKI67;CHD2;BZW1;WDR43;IPO5;SYNE1;PNN;CWC22;NUSAP1;MTREX;DDX18;EIF5B;SUPT16H;HSP90AA1;EIF1AX;SECISBP2L;WDR75;DNTTIP2;DDX10;PRPF40A;THOC2;DDX52;GNL2;GNL3;XRN1;SLTM;NCL;SRFBP1;SREK1;TOP1;NSRP1;ROCK2;DHX9;DDX1;USO1;SRBD1;HEATR1;NOL8;DDX21;SAMSN1;HSPD1;FXR1;BCLAF1;SRP72;IFI16;POLR2B;TPR;DHX36;HLTF;DNAJC21;UTP20;ASCC3;ZC3H13;SF3B1;ZC3H15;HSPA9;NOP58;KRR1;CCDC59;LARP7;CDC5L;MYO5A;NOC3L;EIF2S2;EIF2S1;LRPPRC;PUM3;U2SURP;KTN1;SRPK1;SETX;RSL1D1;EIF5;EPRS1;GOLGB1;ESF1;DHX29;NAA15;EIF3A"
"2","microtubule binding (GO:0008017)","25/232",2.2797452674438e-10,4.99264213570191e-08,0,0,5.28067414256673,117.240403680973,"LRRK2;FMN1;OPA1;KIF5B;NUSAP1;KIF21A;DNM1L;CEP290;DLGAP5;DST;CEP295;MTUS1;KIF23;HOOK3;CKAP5;LRPPRC;CCDC88A;TPX2;CENPE;KIF18A;MAP7D3;HOOK1;MAP1B;KIF20A;KIF20B"
"3","tubulin binding (GO:0015631)","28/307",9.11671423341079e-10,1.33104027807798e-07,0,0,4.40159698238911,91.6225048502071,"DDX3X;LRRK2;FMN1;SMC3;OPA1;KIF5B;TPR;NUSAP1;KIF21A;DNM1L;DLGAP5;CCT5;DST;CEP295;MTUS1;KIF23;HOOK3;CKAP5;LRPPRC;CCDC88A;TPX2;CENPE;KIF18A;MAP7D3;HOOK1;MAP1B;KIF20A;KIF20B"
"4","GTPase binding (GO:0051020)","18/201",1.23666729144242e-06,0.000135415068412945,0,0,4.2389280368031,57.6625215584251,"RANBP2;HSP90AA1;LRRK2;MYCBP2;MYO5A;GCC2;IQGAP1;FNBP1L;IQGAP2;EPS8;GOLGA4;GOLGA5;EPRS1;DMXL2;TRIP11;IARS1;DNM1L;RAPGEF6"
"5","microtubule motor activity (GO:0003777)","9/56",5.46477078676165e-06,0.000478713920920321,0,0,8.1470779522438,98.7196782878008,"CENPE;KIF18A;KIF5B;KIF21A;KIF23;KIF11;KIF20A;SMC3;KIF20B"
"6","mRNA 5'-UTR binding (GO:0048027)","6/25",1.90591399043571e-05,0.00135918156938123,0,0,13.3672793697911,145.275108114196,"RSL1D1;DDX3X;NCL;DHX36;CCT5;GNL3"
"7","motor activity (GO:0003774)","9/66",2.17220798759557e-05,0.00135918156938123,0,0,6.71431854746035,72.0928556099369,"CENPE;KIF18A;KIF5B;KIF21A;KIF23;KIF11;KIF20A;SMC3;KIF20B"
"8","ATP binding (GO:0005524)","19/278",3.18097656072052e-05,0.00174158466699448,0,0,3.15607763375621,32.6835106234841,"HSPA9;HSP90AA1;RRM1;DHX9;PNPLA8;TWF1;IRAK3;IDE;SMC4;HSPA13;SRPK1;PPIP5K2;DHX36;STK38L;MTREX;TOP1;ABCE1;TARS1;N4BP2"
"9","mRNA binding (GO:0003729)","18/263",5.01786500312338e-05,0.00241394816864494,0,0,3.15607472387619,31.244890183714,"SLC4A1AP;DDX3X;DHX9;SECISBP2L;SRBD1;THOC2;EIF2S2;PUM3;GNL3;FXR1;RSL1D1;NCL;DHX36;TPR;NSRP1;SF3B1;CCT5;EIF3A"
"10","G-quadruplex DNA binding (GO:0051880)","4/10",5.51129718868708e-05,0.00241394816864494,0,0,28.1166306695464,275.715207438254,"RAD50;WRN;XRN1;DHX36"
