File,Phenotype
GSM3106326_PAH1.CEL.gz,PAH
GSM3106327_PAH2.CEL.gz,PAH
GSM3106328_PAH3.CEL.gz,PAH
GSM3106329_PAH4.CEL.gz,PAH
GSM3106330_PAH5.CEL.gz,PAH
GSM3106331_PAH6.CEL.gz,PAH
GSM3106332_PAH7.CEL.gz,PAH
GSM3106333_PAH8.CEL.gz,PAH
GSM3106334_PAH9.CEL.gz,PAH
GSM3106335_PAH10.CEL.gz,PAH
GSM3106336_PAH11.CEL.gz,PAH
GSM3106337_PAH12.CEL.gz,PAH
GSM3106338_PAH13.CEL.gz,PAH
GSM3106339_PAH14.CEL.gz,PAH
GSM3106340_PAH15.CEL.gz,PAH
GSM3106341_CONTROL1.CEL.gz,Control
GSM3106342_CONTROL2.CEL.gz,Control
GSM3106343_CONTROL3.CEL.gz,Control
GSM3106344_CONTROL4.CEL.gz,Control
GSM3106345_CONTROL5.CEL.gz,Control
GSM3106346_CONTROL6.CEL.gz,Control
GSM3106347_CONTROL7.CEL.gz,Control
GSM3106348_CONTROL8.CEL.gz,Control
GSM3106349_CONTROL9.CEL.gz,Control
GSM3106350_CONTROL10.CEL.gz,Control
GSM3106351_CONTROL11.CEL.gz,Control
