"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Adrenergic signaling in cardiomyocytes","3/145",0.0224986116475806,0.495068097582712,0,0,5.22227112676056,19.8148720899823,"TNNC1;SCN4B;CACNG4"
"2","Synthesis and degradation of ketone bodies","1/10",0.0407422831141832,0.495068097582712,0,0,26.9756097560976,86.3351376706654,"HMGCS2"
"3","Cardiac muscle contraction","2/78",0.0417049842855966,0.495068097582712,0,0,6.44606887589344,20.4800286535313,"TNNC1;CACNG4"
"4","Hypertrophic cardiomyopathy (HCM)","2/85",0.0486723893884691,0.495068097582712,0,0,5.90034210917745,17.8346299138528,"TNNC1;CACNG4"
"5","Dilated cardiomyopathy (DCM)","2/91",0.0549553897234612,0.495068097582712,0,0,5.50090165071438,15.9594002526914,"TNNC1;CACNG4"
"6","Nitrogen metabolism","1/17",0.0682817873305455,0.495068097582712,0,0,15.1684451219512,40.7138086813566,"CA4"
"7","Phenylalanine metabolism","1/17",0.0682817873305455,0.495068097582712,0,0,15.1684451219512,40.7138086813566,"AOC3"
"8","Terpenoid backbone biosynthesis","1/22",0.0874731840460649,0.495068097582712,0,0,11.5540069686411,28.1504483278882,"HMGCS2"
"9","Proximal tubule bicarbonate reclamation","1/23",0.0912643338868602,0.495068097582712,0,0,11.0282705099778,26.4016268324241,"CA4"
"10","Vascular smooth muscle contraction","2/132",0.104249767866684,0.495068097582712,0,0,3.75821462488129,8.49719415340887,"PPP1R14A;RAMP2"
"11","Butanoate metabolism","1/28",0.109987919173334,0.495068097582712,0,0,8.98373983739837,19.830570269385,"HMGCS2"
"12","Fluid shear stress and atherosclerosis","2/139",0.113566464799212,0.495068097582712,0,0,3.5649274578715,7.75502562235966,"PECAM1;GSTM5"
"13","Asthma","1/31",0.121038587865389,0.495068097582712,0,0,8.08414634146341,17.070854284931,"FCER1A"
"14","beta-Alanine metabolism","1/31",0.121038587865389,0.495068097582712,0,0,8.08414634146341,17.070854284931,"AOC3"
"15","Cell adhesion molecules (CAMs)","2/145",0.121717519230035,0.495068097582712,0,0,3.41431408098075,7.19072414307259,"ICAM2;PECAM1"
