"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Ribosome biogenesis in eukaryotes","10/101",0.00012614946462086,0.0285097790043143,0,0,4.67501863563133,41.9725189296407,"NOP58;XRN1;WDR3;HEATR1;WDR75;RIOK2;RIOK1;GNL2;WDR43;GNL3"
"2","RNA transport","12/165",0.000513493121629955,0.0580247227441849,0,0,3.34065934065934,25.3030689321163,"FXR1;UPF2;RANBP2;PNN;EIF5B;EIF5;EIF1AX;TPR;THOC2;EIF2S2;EIF2S1;EIF3A"
"3","Homologous recombination","5/41",0.00254669361797574,0.191850919220839,0,0,5.86129148629149,35.0092559710617,"RAD50;RBBP8;BRCC3;NBN;TOPBP1"
"4","Propanoate metabolism","4/32",0.00628825917063943,0.294269626347344,0,0,6.01820425794508,30.5067047241708,"LDHB;SUCLA2;ECHDC1;DLD"
"5","Focal adhesion","11/199",0.00727087778868642,0.294269626347344,0,0,2.48221117954461,12.2221056475617,"PPP1R12A;ROCK1;LAMA2;ROCK2;PDGFD;ITGA2;SPP1;IGF1;ITGB6;MET;BIRC3"
"6","Proteoglycans in cancer","11/201",0.00781246795612419,0.294269626347344,0,0,2.45582871652816,11.9157653284848,"PPP1R12A;ROCK1;ROCK2;ITGA2;ITPR2;FRS2;IQGAP1;IGF1;HIF1A;MET;TLR2"
"7","RNA degradation","6/79",0.010394723656812,0.335601078062787,0,0,3.46952723382759,15.8434467232957,"HSPA9;XRN1;DIS3;DHX36;MTREX;HSPD1"
"8","Ferroptosis","4/40",0.0138132390874497,0.390224004220455,0,0,4.678905687545,20.0356720833195,"ACSL1;ACSL4;SLC7A11;CP"
"9","Tryptophan metabolism","4/42",0.0163149275305617,0.409685957989661,0,0,4.43219279299761,18.2414641462693,"TDO2;KYNU;AOX1;DLD"
"10","Rheumatoid arthritis","6/91",0.0197846483538232,0.447133052796405,0,0,2.97787418655098,11.6817507083571,"CXCL8;MMP1;CCL20;ATP6V1D;ATP6V1C1;TLR2"
"11","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","5/72",0.0264978940771288,0.46783948790928,0,0,3.14434321897008,11.4161355380774,"LAMA2;ITGA2;PKP2;DSG2;ITGB6"
"12","Melanoma","5/72",0.0264978940771288,0.46783948790928,0,0,3.14434321897008,11.4161355380774,"FGF7;PDGFD;POLK;IGF1;MET"
"13","Malaria","4/49",0.0272140597084129,0.46783948790928,0,0,3.74139668826494,13.4840742473931,"CXCL8;MET;SELE;TLR2"
"14","Regulation of actin cytoskeleton","10/214",0.0292697467758031,0.46783948790928,0,0,2.07330415754923,7.32125336122942,"FGF7;DIAPH2;PPP1R12A;ROCK1;ROCK2;PDGFD;ITGA2;IQGAP1;ITGB6;IQGAP2"
"15","Citrate cycle (TCA cycle)","3/30",0.0322094739533958,0.46783948790928,0,0,4.67097701149425,16.0471165218245,"SUCLA2;IDH1;DLD"
"16","Synaptic vesicle cycle","5/78",0.035755168871284,0.46783948790928,0,0,2.88501452885015,9.61015775572621,"NSF;CLTC;SLC1A3;ATP6V1D;ATP6V1C1"
"17","Fatty acid biosynthesis","2/13",0.035797690296577,0.46783948790928,0,0,7.63323558162268,25.417696703768,"ACSL1;ACSL4"
"18","Complement and coagulation cascades","5/79",0.0374687145214858,0.46783948790928,0,0,2.8458815958816,9.34658371036821,"C5;SERPINB2;CFH;CFI;F13A1"
"19","Pathogenic Escherichia coli infection","4/55",0.0393316383640545,0.46783948790928,0,0,3.30021598272138,10.6785947815379,"ROCK1;ROCK2;NCL;CLDN1"
"20","Hypertrophic cardiomyopathy (HCM)","5/85",0.0487968154696235,0.551404014806746,0,0,2.63162878787879,7.94775637816017,"LAMA2;ITGA2;ITGB6;IGF1;TTN"
"21","Dilated cardiomyopathy (DCM)","5/91",0.0619368122150272,0.655592683264114,0,0,2.44727172052753,6.80743030719057,"LAMA2;ITGA2;ITGB6;IGF1;TTN"
"22","Mitophagy","4/65",0.065335282983877,0.655592683264114,0,0,2.75778068902029,7.52384089027077,"USP8;USP15;TAX1BP1;HIF1A"
"23","IL-17 signaling pathway","5/93",0.0667196093587373,0.655592683264114,0,0,2.39140594254231,6.47414898527401,"HSP90AA1;CXCL8;MMP1;CCL20;MAPK6"
"24","Herpes simplex virus 1 infection","17/492",0.070964542128104,0.66824943837298,0,0,1.51572397660819,4.00996135836534,"ZNF100;ZNF175;EIF2S1;ZNF33B;SRPK1;ZNF33A;C5;ZNF91;ZNF429;ZNF614;ZNF845;ZNF799;ZNF841;ZNF675;ZNF267;BIRC3;TLR2"
"25","Epithelial cell signaling in Helicobacter pylori infection","4/68",0.0745245395969943,0.673701837956828,0,0,2.62810475161987,6.82420727665114,"CXCL8;MET;ATP6V1D;ATP6V1C1"
"26","One carbon pool by folate","2/20",0.0784046420220614,0.681517272960996,0,0,4.66308243727599,11.8716116818333,"MTHFD2;ALDH1L2"
"27","Vascular smooth muscle contraction","6/132",0.0893373520579573,0.738245805625736,0,0,2.00464828013635,4.84189836135901,"PPP1R12A;ROCK1;CALD1;ROCK2;PLA2G2A;ITPR2"
"28","Spliceosome","6/134",0.0943491053954849,0.738245805625736,0,0,1.97312228850325,4.65805532676312,"CDC5L;PRPF40A;THOC2;SLU7;SF3B1;U2SURP"
"29","PPAR signaling pathway","4/74",0.0947306564740989,0.738245805625736,0,0,2.40209811786486,5.66106693332475,"MMP1;ACSL1;ACSL4;PLIN2"
"30","Valine, leucine and isoleucine degradation","3/48",0.101435471956521,0.764147222072456,0,0,2.8,6.4073307954379,"AOX1;BCAT1;DLD"
"31","TNF signaling pathway","5/110",0.115237170181871,0.840116143906544,0,0,2.00247371675943,4.32687096532946,"CCL20;CFLAR;DNM1L;SELE;BIRC3"
"32","NOD-like receptor signaling pathway","7/178",0.124196814819659,0.853550838986705,0,0,1.7230358504958,3.59405938264034,"HSP90AA1;CXCL8;IFI16;ITPR2;BRCC3;DNM1L;BIRC3"
"33","ECM-receptor interaction","4/82",0.125198230799294,0.853550838986705,0,0,2.15484299717561,4.4774555008829,"LAMA2;ITGA2;SPP1;ITGB6"
"34","Collecting duct acid secretion","2/27",0.130437950668256,0.853550838986705,0,0,3.35621505376344,6.83613227071836,"ATP6V1D;ATP6V1C1"
"35","Vitamin B6 metabolism","1/6",0.132187076834224,0.853550838986705,0,0,8.38111587982833,16.9594990144304,"AOX1"
"36","Legionellosis","3/55",0.137086633830858,0.860599423493723,0,0,2.42220656498674,4.81326885644294,"CXCL8;TLR2;HSPD1"
