"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8176253","8176253",NA,NA,1.67741250586209,8.65230252704054,14.5984803587393,1.76002900945803e-14,3.04524957693185e-10,22.9469647608302
"7983663","7983663","USP8","ubiquitin specific peptidase 8",1.5272466984001,8.93398787178603,14.1279826862042,3.91272048154897e-14,3.04524957693185e-10,22.1891212564272
"8068062","8068062","USP16","ubiquitin specific peptidase 16",1.39162410311463,9.01595183631828,14.1172814611521,3.98541186122417e-14,3.04524957693185e-10,22.1716209497511
"8171024","8171024",NA,NA,1.58124549391975,7.55676202518113,14.081676530233,4.23745853604933e-14,3.04524957693185e-10,22.1133086761113
"8006112","8006112","NSRP1","nuclear speckle splicing regulatory protein 1",1.46516983441309,8.52142208203018,13.4800103507835,1.21641149468039e-13,6.99339296521651e-10,21.1076806266817
"8041015","8041015","SLC4A1AP","solute carrier family 4 member 1 adaptor protein",1.33485654202784,8.92786098602414,13.3527365070178,1.52728803760007e-13,7.31723698814195e-10,20.8899558933431
"7965200","7965200","CCDC59","coiled-coil domain containing 59",1.2586625062478,8.13638076450145,13.0753151986498,2.52237501737191e-13,9.40519558808614e-10,20.4091666719144
"7962590","7962590","RPAP3","RNA polymerase II associated protein 3",1.41655726812035,7.05886589161404,13.0550230311451,2.61746207140782e-13,9.40519558808614e-10,20.3736611478447
"8020903","8020903","GALNT1","polypeptide N-acetylgalactosaminyltransferase 1",1.52511304227127,8.57486850172896,12.8596979257701,3.74552471577147e-13,1.07116931543958e-09,20.0295122783503
"8145702","8145702","WRN","WRN RecQ like helicase",1.07635098816969,8.27026283916974,12.8306642715879,3.95178069540021e-13,1.07116931543958e-09,19.9779857870628
"8050302","8050302","ROCK2","Rho associated coiled-coil containing protein kinase 2",1.44935976683891,9.47774979491645,12.7608122831593,4.49737633722355e-13,1.07513027661664e-09,19.8536217028313
"8022441","8022441","ROCK1","Rho associated coiled-coil containing protein kinase 1",1.40483413634352,8.94452180958785,12.7188252203748,4.86213511306489e-13,1.07513027661664e-09,19.778597566786
"7958346","7958346","TMEM263","transmembrane protein 263",0.688621088814692,9.0557432434662,12.6034080824307,6.03033874496851e-13,1.23820083973475e-09,19.5713127538026
"7978866","7978866","NEMF","nuclear export mediator factor",0.910536751644663,8.60792695018423,12.3061673389592,1.05687271054595e-12,2.02539086249025e-09,19.0302895761552
"8151711","8151711","NBN","nibrin",1.19304596113141,8.51696610713374,12.1810139103797,1.34236276883542e-12,2.27236970884711e-09,18.7993513438354
"8095773","8095773","USO1","USO1 vesicle transport factor",1.42600998683901,9.81487806316939,12.1652131840541,1.38367400092978e-12,2.27236970884711e-09,18.7700614945294
"8044263","8044263","RANBP2","RAN binding protein 2",1.05908064790707,9.08456125857298,12.1506537780113,1.42289900366131e-12,2.27236970884711e-09,18.74304604924
"7930470","7930470","SHOC2","SHOC2 leucine rich repeat scaffold protein",0.970584868247563,9.69184817548768,12.065365311043,1.67685660418754e-12,2.536995786525e-09,18.5842760106329
"7965064","7965064","OSBPL8","oxysterol binding protein like 8",1.30136903451247,9.37537477349297,11.895489558728,2.33131738455916e-12,3.10865324610182e-09,18.2654053813048
"7932911","7932911","KIF5B","kinesin family member 5B",1.25746277278238,10.8942231955489,11.8853810366,2.37772295416066e-12,3.10865324610182e-09,18.2463195374627
"8089930","8089930","GOLGB1","golgin B1",1.38227352888044,9.11681059594082,11.8838495780165,2.38483599689665e-12,3.10865324610182e-09,18.2434269037617
"7903519","7903519","PRPF38B","pre-mRNA processing factor 38B",0.858343236032511,8.89933089937685,11.8623026150623,2.48726865165038e-12,3.10865324610182e-09,18.2026982140409
"8105136","8105136","ZNF131","zinc finger protein 131",0.929456624975725,8.08083424105398,11.7990073848732,2.81518137836322e-12,3.37188349593454e-09,18.0827248641064
"7971422","7971422","ZC3H13","zinc finger CCCH-type containing 13",1.23978058182583,8.48299557007548,11.7763444534377,2.94314483554501e-12,3.37627494985397e-09,18.0396479377987
"8146243","8146243","HOOK3","hook microtubule tethering protein 3",1.02330327637777,9.44046116494521,11.7464551427382,3.12112670181291e-12,3.37627494985397e-09,17.9827380781905
"8083709","8083709","SMC4","structural maintenance of chromosomes 4",1.74882117526997,8.2978494433648,11.7314536402422,3.2145962339291e-12,3.37627494985397e-09,17.9541331400293
"8173766","8173766","BRWD3","bromodomain and WD repeat domain containing 3",1.02862690832415,8.37879330282811,11.6932905268566,3.4655928878867e-12,3.37627494985397e-09,17.8812374462616
"8030908","8030908","ZNF480","zinc finger protein 480",0.891443122642601,8.43564133026824,11.6825748564302,3.53963532586431e-12,3.37627494985397e-09,17.8607367560171
"8035842","8035842","ZNF91","zinc finger protein 91",1.45111248073987,8.80168161929283,11.677078988819,3.57824017229014e-12,3.37627494985397e-09,17.8502167827069
"8043687","8043687","ANKRD36","ankyrin repeat domain 36",1.22841646386188,8.06051413262674,11.6568750399383,3.72392472476825e-12,3.37627494985397e-09,17.8115108004066
"7976598","7976598","PAPOLA","poly(A) polymerase alpha",0.996182784358711,10.6058912755057,11.6522044040768,3.75846373044344e-12,3.37627494985397e-09,17.8025557181809
"7895629","7895629",NA,NA,0.729027305700656,10.1965338570851,11.595230610129,4.20733101468269e-12,3.49599039981866e-09,17.6930994227522
"8105681","8105681","ERBIN","erbb2 interacting protein",0.927701170956441,10.1129710696113,11.591985589966,4.23450077833537e-12,3.49599039981866e-09,17.6868529563165
"8081256","8081256","TBC1D23","TBC1 domain family member 23",0.867877271964176,8.71077802825711,11.5893642404026,4.25658053272293e-12,3.49599039981866e-09,17.6818060537769
"8046848","8046848","ZC3H15","zinc finger CCCH-type containing 15",1.36328789382775,9.6981686704157,11.4659345707631,5.44254986550142e-12,4.27101217426818e-09,17.443187879143
"8100428","8100428","CLOCK","clock circadian regulator",1.18186159345286,8.49331868064564,11.4413682721349,5.7166144616646e-12,4.27101217426818e-09,17.3954661938682
"7917604","7917604","ZNF644","zinc finger protein 644",0.9716725678724,9.14064234553062,11.4259939863239,5.89532050746394e-12,4.27101217426818e-09,17.3655617402842
"7974164","7974164",NA,NA,0.990862582486359,5.65236239103628,11.4238609225378,5.92056489830201e-12,4.27101217426818e-09,17.361410361511
"8177560","8177560","BDP1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",0.994342501101055,8.99087614385813,11.421964283634,5.94310467441478e-12,4.27101217426818e-09,17.3577186295119
"8052307","8052307","PPP4R3B","protein phosphatase 4 regulatory subunit 3B",0.833438615557222,9.41661469554984,11.3688057232371,6.61210927828028e-12,4.60076747196288e-09,17.2540618787482
"8171041","8171041","VAMP7","vesicle associated membrane protein 7",0.659849273611755,10.1581204545784,11.3489035839647,6.88210538142364e-12,4.60076747196288e-09,17.2151611956409
"8176962","8176962","VAMP7","vesicle associated membrane protein 7",0.659849273611755,10.1581204545784,11.3489035839647,6.88210538142364e-12,4.60076747196288e-09,17.2151611956409
"8106025","8106025","BDP1","B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",0.981367792069779,8.97543084163968,11.3014784776356,7.57217939067987e-12,4.94280745342383e-09,17.1222606969203
"7907790","7907790","CEP350","centrosomal protein 350",1.25464885658813,9.14976967822489,11.2907683126233,7.73764472984319e-12,4.94280745342383e-09,17.1012409337333
"7965022","7965022","KRR1","KRR1 small subunit processome component homolog",1.12762810471674,8.64610001730197,11.2392648266919,8.58688700644926e-12,5.36605769320414e-09,16.9999552285553
"8085954","8085954","AZI2","5-azacytidine induced 2",1.03153624462229,9.29309326423148,11.2223574787134,8.8861236289435e-12,5.40896039461607e-09,16.9666314628262
"8147262","8147262","OTUD6B","OTU deubiquitinase 6B",0.925633985924565,8.09171389176965,11.2143336069286,9.03186874492351e-12,5.40896039461607e-09,16.950803864951
"8104838","8104838","DNAJC21","DnaJ heat shock protein family (Hsp40) member C21",1.20426922269831,8.48316362217136,11.1988467313766,9.3201662668689e-12,5.46770407157986e-09,16.9202316281583
"8080685","8080685","SLMAP","sarcolemma associated protein",0.925745591996872,8.99223096728953,11.1703554621389,9.87553491250413e-12,5.58485920383234e-09,16.8639071841062
"7922912","7922912","TPR","translocated promoter region, nuclear basket protein",1.48877832426256,8.46164444136866,11.1640917490694,1.00021307170113e-11,5.58485920383234e-09,16.8515104247667
"8120022","8120022","CDC5L","cell division cycle 5 like",1.31755075574744,8.77046334698173,11.1093678269052,1.11817327841999e-11,6.06471869084169e-09,16.7429889470028
"8082940","8082940","ARMC8","armadillo repeat containing 8",1.04566642875272,9.20747451843601,11.0964068894208,1.14815077180097e-11,6.1119892752205e-09,16.7172298186115
"7936567","7936567","RAB11FIP2","RAB11 family interacting protein 2",0.786905075922782,9.35331279664654,11.0792288430184,1.18916089043065e-11,6.13788004555548e-09,16.6830559319589
"7965123","7965123","PPP1R12A","protein phosphatase 1 regulatory subunit 12A",1.30263678711136,9.53587811332273,11.0707584048886,1.20993458274909e-11,6.13788004555548e-09,16.666190835365
"8168691","8168691","DIAPH2","diaphanous related formin 2",1.13890121919379,9.25126216585379,11.0676917888234,1.21754716030215e-11,6.13788004555548e-09,16.6600827464326
"8044236","8044236","GCC2","GRIP and coiled-coil domain containing 2",1.53676204428097,8.75865253077686,11.0535222431769,1.25336669851865e-11,6.13788004555548e-09,16.6318440022426
"8166230","8166230","TXLNG","taxilin gamma",1.13988842823028,8.94662531490386,11.0474677524652,1.26900085250036e-11,6.13788004555548e-09,16.6197699583341
"8038993","8038993","ZNF28","zinc finger protein 28",1.1433290108935,7.59726330705141,11.0428243259083,1.28112712284606e-11,6.13788004555548e-09,16.6105066775515
"7965436","7965436","EEA1","early endosome antigen 1",1.50415449003574,8.29330405827562,11.0336228721986,1.30551000737669e-11,6.15216240525416e-09,16.5921422135221
"8131479","8131479","MIOS","meiosis regulator for oocyte development",1.03356125085098,8.67538226465951,11.014290265541,1.3583066995851e-11,6.29772328810857e-09,16.5535219469195
"7907171","7907171","BLZF1","basic leucine zipper nuclear factor 1",1.42854520122785,9.56031318675507,10.9873456630155,1.43557958767716e-11,6.47096905489236e-09,16.4996143207731
"8112772","8112772","AP3B1","adaptor related protein complex 3 subunit beta 1",1.01632018866099,9.41522439272706,10.9856151297907,1.44069442535696e-11,6.47096905489236e-09,16.4961488420837
"7989253","7989253","SLTM","SAFB like transcription modulator",1.06243690490528,9.01034902729127,10.9596810204688,1.51963168406547e-11,6.66760738489978e-09,16.4441677642431
"7935320","7935320","TM9SF3","transmembrane 9 superfamily member 3",0.613926544823251,11.2218807204446,10.9561038400408,1.53086372853053e-11,6.66760738489978e-09,16.4369909553465
"7896596","7896596",NA,NA,1.67427345171943,9.6973232215146,10.9478868209546,1.5569889598301e-11,6.67285446815508e-09,16.4204990310554
"8096098","8096098","COPS4","COP9 signalosome subunit 4",0.977938343736748,8.4145049262671,10.941228435394,1.57849476043465e-11,6.67285446815508e-09,16.4071288909507
"8078569","8078569","GOLGA4","golgin A4",1.31921406894991,8.81050651187833,10.9203818210262,1.64782375922791e-11,6.76812386087609e-09,16.365231130404
"7962013","7962013","ERGIC2","ERGIC and golgi 2",0.904124861565666,9.28742216225049,10.9202945953999,1.6481203306941e-11,6.76812386087609e-09,16.3650557040658
