"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8027884","8027884",NA,NA,-1.44304262813973,10.5308624373293,-12.8108862585701,4.09895723573207e-13,1.07116931543958e-09,19.9428300646564
"8131067","8131067","GPR146","G protein-coupled receptor 146",-1.44465142142243,8.67615888321128,-11.1591728485656,1.01027161552662e-11,5.58485920383234e-09,16.8417716929142
"7977397","7977397","CRIP2","cysteine rich protein 2",-1.08891279675335,10.8014759202834,-10.6859201633727,2.68191314251353e-11,8.37981252116239e-09,15.8900795699855
"8093906","8093906","WFS1","wolframin ER transmembrane glycoprotein",-1.04985490593816,9.64218929613149,-10.4142111355152,4.75613137196244e-11,1.12065370834781e-08,15.3303335544949
"8023392","8023392","SNORA37","small nucleolar RNA, H/ACA box 37",-1.18339517061424,9.52532618648387,-10.3555523330944,5.38879946811324e-11,1.2126662943886e-08,15.2081948745022
"7920875","7920875","SCARNA4","small Cajal body-specific RNA 4",-2.3623376350635,8.09988374514475,-10.2325220651447,7.0122822621556e-11,1.45018033027284e-08,14.9505169686769
"7952004","7952004","SCN4B","sodium voltage-gated channel beta subunit 4",-1.17423360158497,8.02871674028703,-10.147024283001,8.42995143046658e-11,1.59425910408021e-08,14.7702424396113
"8090565","8090565","SNORA7B","small nucleolar RNA, H/ACA box 7B",-1.26465053865843,10.0051377444776,-10.0138414311984,1.12510357347199e-10,1.88198190504139e-08,14.4874436320126
"7960052","7960052","SNORA49","small nucleolar RNA, H/ACA box 49",-1.08792847741071,8.68467273172862,-9.9398622943827,1.32207045818691e-10,2.02150198888515e-08,14.3293119465704
"7922418","7922418","SNORD74","small nucleolar RNA, C/D box 74",-1.25293650602763,10.6066866315647,-9.72667234989302,2.11282015027344e-10,2.86486453017738e-08,13.8694183008709
"8098326","8098326",NA,NA,-1.14812379494102,8.98033835978689,-9.64824498870235,2.5142338116919e-10,3.08863953636305e-08,13.6986609659099
"8017547","8017547","ICAM2","intercellular adhesion molecule 2",-1.03395985114316,10.5217686935517,-9.63357129918985,2.59763515451258e-10,3.15070127222019e-08,13.6666181443064
"8116952","8116952",NA,NA,-1.3592166770137,9.55003491192974,-9.62585405690679,2.64263188763297e-10,3.15716566487187e-08,13.649754127503
"8043276","8043276","SNORD94","small nucleolar RNA, C/D box 94",-1.38462984016117,9.82594895544339,-9.62512962093267,2.64689669948556e-10,3.15716566487187e-08,13.6481706394777
"7920271","7920271","S100A4","S100 calcium binding protein A4",-1.02247823627443,9.51069854394792,-9.15136228434568,7.71088215194977e-10,6.55789995088604e-08,12.5970196584521
"7914807","7914807",NA,NA,-1.94961354877864,5.24254390288652,-9.14409037837452,7.84027491432073e-10,6.58995738851063e-08,12.5806424003996
"7895091","7895091",NA,NA,-1.0391454404894,9.55649321893926,-9.00263422761756,1.08522634031679e-09,8.06096030458567e-08,12.2606009850516
"8143772","8143772","RARRES2","retinoic acid receptor responder 2",-1.32965690891971,9.52819795710544,-8.9840953470701,1.13268502176343e-09,8.29613069339257e-08,12.2184507457071
"7914938","7914938",NA,NA,-1.23122400398976,8.1733772336794,-8.92305737300551,1.30452036568389e-09,9.25919566220967e-08,12.079336031595
"7940996","7940996","PRDX5","peroxiredoxin 5",-1.12444728138217,10.4785076395548,-8.820592609891,1.65541232456208e-09,1.08320028382682e-07,11.8446381631797
"7905088","7905088","H2AC20","H2A clustered histone 20",-1.23001370007555,9.24151541496783,-8.7113013042025,2.13756079114514e-09,1.29360678952122e-07,11.5926958371219
"8149324","8149324","FAM167A","family with sequence similarity 167 member A",-1.17848739270987,7.785759324669,-8.6730408986983,2.33853284004583e-09,1.35531179475721e-07,11.5041047904379
"7924996","7924996","C1orf198","chromosome 1 open reading frame 198",-1.01936953224404,10.9811466533188,-8.63739643856433,2.54317292469169e-09,1.42785251744506e-07,11.4213883239411
"7976443","7976443","IFI27","interferon alpha inducible protein 27",-1.29633246486129,10.4312970556692,-8.57530895687499,2.94448997829935e-09,1.57287448001866e-07,11.2768881400011
"8038735","8038735","KLK11","kallikrein related peptidase 11",-1.18480285159786,9.00719409832747,-8.57394305125733,2.95401367077989e-09,1.57287448001866e-07,11.2737031850448
"7981960","7981960","SNORD116-6","small nucleolar RNA, C/D box 116-6",-1.07806329210435,8.62472624957841,-8.41946054120795,4.26299930138956e-09,2.06510266298083e-07,10.9118265304967
"7933204","7933204","DEPP1","DEPP autophagy regulator 1",-1.32408856115822,10.5080260996333,-8.32677560479484,5.32044974795754e-09,2.40149633998696e-07,10.6931351047739
"8079305","8079305","CLEC3B","C-type lectin domain family 3 member B",-1.1002629335344,9.61901389661775,-8.30492009945608,5.60676155985587e-09,2.50700668201933e-07,10.6413951535697
"8007348","8007348","RAMP2","receptor activity modifying protein 2",-1.65905394655741,9.14699044370623,-8.2388406325311,6.572088992795e-09,2.84092135619376e-07,10.4845638868657
"7982854","7982854","DLL4","delta like canonical Notch ligand 4",-1.20232626374593,9.37917987257017,-8.2177709750327,6.91439060324207e-09,2.94025254853249e-07,10.4344324863337
"8009334","8009334","CACNG4","calcium voltage-gated channel auxiliary subunit gamma 4",-1.15635378166998,8.901695658868,-7.9943362246381,1.1888894710425e-08,4.33703258053145e-07,9.89910817796554
"8041570","8041570","TMEM178A","transmembrane protein 178A",-1.01844647861325,8.95549717765143,-7.82374868911676,1.80613988851459e-08,5.84676770667122e-07,9.48589113385048
"7896370","7896370",NA,NA,-1.23373144721836,8.61690363592301,-7.78624810341696,1.98104072240554e-08,6.2305247928085e-07,9.39453586579427
"8062490","8062490","SNORA60","small nucleolar RNA, H/ACA box 60",-1.24772161822383,10.420417809806,-7.77495602719427,2.03702425772314e-08,6.36481514266406e-07,9.36699097483906
"8087925","8087925","TNNC1","troponin C1, slow skeletal and cardiac type",-1.1850669541446,8.78902852598113,-7.77132136176454,2.05538568650304e-08,6.40825563386293e-07,9.35812133224142
"8081878","8081878",NA,NA,-1.61137970063231,5.37733557577035,-7.70324336429246,2.43233135233822e-08,7.21731310441512e-07,9.19167167355106
"8124406","8124406","H2BC4","H2B clustered histone 4",-1.1816043942174,6.93274777346474,-7.33922696484994,6.04443448408232e-08,1.38448855521458e-06,8.29155023905814
"8065427","8065427","GGTLC1","gamma-glutamyltransferase light chain 1",-1.06177673160814,8.3687852463987,-7.23354680307385,7.89696267539835e-08,1.69281199900821e-06,8.02712378803456
"8036473","8036473","PPP1R14A","protein phosphatase 1 regulatory inhibitor subunit 14A",-1.04810245271994,9.16253309302004,-7.23229485907242,7.92207668100724e-08,1.69566653962944e-06,8.02398309842195
"8018814","8018814",NA,NA,-1.07389500555174,7.87311352928029,-7.16973658805893,9.28641500233979e-08,1.90949417494463e-06,7.86680592738249
"8007701","8007701","HIGD1B","HIG1 hypoxia inducible domain family member 1B",-1.55342808853248,9.50710530504037,-7.05447310994632,1.24602402292102e-07,2.38470083641062e-06,7.57598896415879
