"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"8027884","8027884",NA,NA,-1.44304262813973,10.5308624373293,-12.8108862585701,4.09895723573207e-13,1.07116931543958e-09,19.9428300646564
"8131067","8131067","GPR146","G protein-coupled receptor 146",-1.44465142142243,8.67615888321128,-11.1591728485656,1.01027161552662e-11,5.58485920383234e-09,16.8417716929142
"7911754","7911754","TNFRSF14","TNF receptor superfamily member 14",-0.634574075542183,9.15627538772619,-10.8932144597428,1.74290094730119e-11,6.9585320321e-09,16.3105445997182
"8116532","8116532","SNORD95","small nucleolar RNA, C/D box 95",-0.888892722427869,10.4552625839711,-10.7864785676736,2.17451939503205e-11,7.48691347640952e-09,16.0947536962542
"7977397","7977397","CRIP2","cysteine rich protein 2",-1.08891279675335,10.8014759202834,-10.6859201633727,2.68191314251353e-11,8.37981252116239e-09,15.8900795699855
"7981377","7981377","ANKRD9","ankyrin repeat domain 9",-0.569960488248373,7.92676954851,-10.6291707181661,3.02053396012891e-11,8.59831640469105e-09,15.7739825813492
"7978335","7978335","SDR39U1","short chain dehydrogenase/reductase family 39U member 1",-0.582423005770622,8.33384390104875,-10.6290899120517,3.02104625643149e-11,8.59831640469105e-09,15.7738169650334
"8055208","8055208","CCDC115","coiled-coil domain containing 115",-0.819508274891346,8.20954552671951,-10.6004243714326,3.20853753497374e-11,9.04237763880536e-09,15.7150107118367
"8040530","8040530","FKBP1B","FKBP prolyl isomerase 1B",-0.582527600409316,8.63607183350088,-10.5456262698009,3.60096279545681e-11,9.5845626405742e-09,15.6022902378349
"8093906","8093906","WFS1","wolframin ER transmembrane glycoprotein",-1.04985490593816,9.64218929613149,-10.4142111355152,4.75613137196244e-11,1.12065370834781e-08,15.3303335544949
"8023392","8023392","SNORA37","small nucleolar RNA, H/ACA box 37",-1.18339517061424,9.52532618648387,-10.3555523330944,5.38879946811324e-11,1.2126662943886e-08,15.2081948745022
"7901967","7901967",NA,NA,-0.671888406509968,6.95489806832884,-10.3297624718465,5.69373868675668e-11,1.22143442007095e-08,15.154349035603
"7920875","7920875","SCARNA4","small Cajal body-specific RNA 4",-2.3623376350635,8.09988374514475,-10.2325220651447,7.0122822621556e-11,1.45018033027284e-08,14.9505169686769
"8009096","8009096","ACE","angiotensin I converting enzyme",-0.7669717926315,8.50358412967699,-10.1649917946305,8.10936433115173e-11,1.56803205748057e-08,14.8082097299719
"8092224","8092224",NA,NA,-0.994504735059153,6.44639636573195,-10.1639487843266,8.12762737649081e-11,1.56803205748057e-08,14.8060069348109
"7952004","7952004","SCN4B","sodium voltage-gated channel beta subunit 4",-1.17423360158497,8.02871674028703,-10.147024283001,8.42995143046658e-11,1.59425910408021e-08,14.7702424396113
"7901048","7901048","SNORD46","small nucleolar RNA, C/D box 46",-0.908549509404994,10.6742552708965,-10.0759186134664,9.83187232483002e-11,1.73390798680714e-08,14.6195580955268
"8090565","8090565","SNORA7B","small nucleolar RNA, H/ACA box 7B",-1.26465053865843,10.0051377444776,-10.0138414311984,1.12510357347199e-10,1.88198190504139e-08,14.4874436320126
"8132209","8132209","ZNRF2P1","zinc and ring finger 2 pseudogene 1",-0.540927552224213,8.64376097918514,-9.99561879579882,1.17063659475994e-10,1.88861889270817e-08,14.4485618638441
"7949637","7949637","MRPL11","mitochondrial ribosomal protein L11",-0.870642829716539,8.96511305093571,-9.98086567922062,1.20888428392925e-10,1.88861889270817e-08,14.4170498047285
"8032576","8032576","TLE5","TLE family member 5, transcriptional modulator",-0.817667454983956,10.6805297233067,-9.95146328915967,1.28898469387189e-10,1.9921050543033e-08,14.3541587503787
"7960052","7960052","SNORA49","small nucleolar RNA, H/ACA box 49",-1.08792847741071,8.68467273172862,-9.9398622943827,1.32207045818691e-10,2.02150198888515e-08,14.3293119465704
"8006319","8006319",NA,NA,-0.709973591500688,7.27372805344864,-9.81777787564265,1.72798897587667e-10,2.49466494007149e-08,14.0667153076498
"7970329","7970329","GAS6","growth arrest specific 6",-0.959261837083757,9.42101533566658,-9.74165999304117,2.04392711423071e-10,2.8247465781575e-08,13.9019538825737
"8135856","8135856","ARF5","ADP ribosylation factor 5",-0.89103971977959,9.63390718877685,-9.72999446821154,2.09734665027094e-10,2.85736146012741e-08,13.8766327151161
"7922418","7922418","SNORD74","small nucleolar RNA, C/D box 74",-1.25293650602763,10.6066866315647,-9.72667234989302,2.11282015027344e-10,2.86486453017738e-08,13.8694183008709
"8010967","8010967","NXN","nucleoredoxin",-0.877353742358284,9.63707154046016,-9.69821444969705,2.25026617722134e-10,2.94820802115398e-08,13.807555920412
"7920725","7920725","SCAMP3","secretory carrier membrane protein 3",-0.673298492483161,8.81364518072006,-9.6924473862685,2.27922033907704e-10,2.94820802115398e-08,13.7950057491985
"7914500","7914500","TMEM234","transmembrane protein 234",-0.506727203083053,8.02916124766789,-9.68660523774894,2.30894149130104e-10,2.95972801443371e-08,13.7822875016842
"8165438","8165438","DPP7","dipeptidyl peptidase 7",-0.604473082685054,10.6843605300354,-9.6599308536288,2.44978300823019e-10,3.05153206751129e-08,13.7241580286516
"8098326","8098326",NA,NA,-1.14812379494102,8.98033835978689,-9.64824498870235,2.5142338116919e-10,3.08863953636305e-08,13.6986609659099
"8017547","8017547","ICAM2","intercellular adhesion molecule 2",-1.03395985114316,10.5217686935517,-9.63357129918985,2.59763515451258e-10,3.15070127222019e-08,13.6666181443064
"8116952","8116952",NA,NA,-1.3592166770137,9.55003491192974,-9.62585405690679,2.64263188763297e-10,3.15716566487187e-08,13.649754127503
"8043276","8043276","SNORD94","small nucleolar RNA, C/D box 94",-1.38462984016117,9.82594895544339,-9.62512962093267,2.64689669948556e-10,3.15716566487187e-08,13.6481706394777
"8169634","8169634",NA,NA,-0.99442067564488,10.2915819005055,-9.60683530594783,2.75697064993291e-10,3.25031014827597e-08,13.6081584835256
"8130578","8130578","SNORA20","small nucleolar RNA, H/ACA box 20",-0.964478267181027,11.3984265811525,-9.55334905794996,3.10652585672193e-10,3.50240432009122e-08,13.4909113456863
"7949075","7949075","TRMT112","tRNA methyltransferase activator subunit 11-2",-0.799475697808015,11.6789116344554,-9.55271061394231,3.1109624983125e-10,3.50240432009122e-08,13.4895094229644
"8133106","8133106","SNORA22","small nucleolar RNA, H/ACA box 22",-0.915070229621234,11.5478940386334,-9.45731646883689,3.85267915330941e-10,4.13328270147926e-08,13.2794044754085
"8006906","8006906","ERBB2","erb-b2 receptor tyrosine kinase 2",-0.648675350564185,9.12083444695605,-9.31672621755887,5.29140870129693e-10,5.08718510125356e-08,12.9674545187612
"8053447","8053447",NA,NA,-0.87343953727103,7.81261926805359,-9.28456490010977,5.69186114232294e-10,5.32958437775946e-08,12.8957072244371
"8082465","8082465","EFCC1","EF-hand and coiled-coil domain containing 1",-0.760656128744548,9.05452950052792,-9.25278759108467,6.11810449926612e-10,5.58320736304456e-08,12.8246753651655
